type	study_subject_id	SUBJECT_ID
study_subject	study_subject_id_425	E50057
study_subject	study_subject_id_426	E50074
study_subject	study_subject_id_427	E50091
study_subject	study_subject_id_428	E50123
study_subject	study_subject_id_429	HF0017
study_subject	study_subject_id_430	HF0022
study_subject	study_subject_id_431	HF0024
study_subject	study_subject_id_432	HF0026
study_subject	study_subject_id_433	HF0031
study_subject	study_subject_id_434	HF0048
study_subject	study_subject_id_435	HF0050
study_subject	study_subject_id_436	HF0066
study_subject	study_subject_id_437	HF0087
study_subject	study_subject_id_438	HF0088
study_subject	study_subject_id_439	HF0089
study_subject	study_subject_id_440	HF0108
study_subject	study_subject_id_441	HF0120
study_subject	study_subject_id_442	HF0131
study_subject	study_subject_id_443	HF0137
study_subject	study_subject_id_444	HF0138
study_subject	study_subject_id_445	HF0141
study_subject	study_subject_id_446	HF0142
study_subject	study_subject_id_447	HF0151
study_subject	study_subject_id_448	HF0152
study_subject	study_subject_id_449	HF0163
study_subject	study_subject_id_450	HF0171
study_subject	study_subject_id_451	HF0178
study_subject	study_subject_id_452	HF0180
study_subject	study_subject_id_453	HF0183
study_subject	study_subject_id_454	HF0184
study_subject	study_subject_id_455	HF0189
study_subject	study_subject_id_456	HF0201
study_subject	study_subject_id_457	HF0211
study_subject	study_subject_id_458	HF0212
study_subject	study_subject_id_459	HF0218
study_subject	study_subject_id_460	HF0223
study_subject	study_subject_id_461	HF0232
study_subject	study_subject_id_462	HF0244
study_subject	study_subject_id_463	HF0251
study_subject	study_subject_id_464	HF0252
study_subject	study_subject_id_465	HF0268
study_subject	study_subject_id_466	HF0285
study_subject	study_subject_id_467	HF0291
study_subject	study_subject_id_468	HF0295
study_subject	study_subject_id_469	HF0300.3
study_subject	study_subject_id_470	HF0303
study_subject	study_subject_id_471	HF0305
study_subject	study_subject_id_472	HF0312
study_subject	study_subject_id_473	HF0316
study_subject	study_subject_id_474	HF0327
study_subject	study_subject_id_475	HF0329
study_subject	study_subject_id_476	HF0332
study_subject	study_subject_id_477	HF0350
study_subject	study_subject_id_478	HF0377
study_subject	study_subject_id_479	HF0383
study_subject	study_subject_id_480	HF0408
study_subject	study_subject_id_481	HF0434
study_subject	study_subject_id_482	HF0435
study_subject	study_subject_id_483	HF0442.5
study_subject	study_subject_id_484	HF0445
study_subject	study_subject_id_485	HF0450
study_subject	study_subject_id_486	HF0453
study_subject	study_subject_id_487	HF0460
study_subject	study_subject_id_488	HF0467
study_subject	study_subject_id_489	HF0471
study_subject	study_subject_id_490	HF0488
study_subject	study_subject_id_491	HF0491
study_subject	study_subject_id_492	HF0505
study_subject	study_subject_id_493	HF0510
study_subject	study_subject_id_494	HF0512
study_subject	study_subject_id_495	HF0520
study_subject	study_subject_id_496	HF0523
study_subject	study_subject_id_497	HF0525
study_subject	study_subject_id_498	HF0526
study_subject	study_subject_id_499	HF0533
study_subject	study_subject_id_500	HF0543
study_subject	study_subject_id_501	HF0583
study_subject	study_subject_id_502	HF0593
study_subject	study_subject_id_503	HF0599
study_subject	study_subject_id_504	HF0606
study_subject	study_subject_id_505	HF0608
study_subject	study_subject_id_506	HF0615
study_subject	study_subject_id_507	HF0616
study_subject	study_subject_id_508	HF0627
study_subject	study_subject_id_509	HF0639
study_subject	study_subject_id_510	HF0652.4
study_subject	study_subject_id_511	HF0654
study_subject	study_subject_id_512	HF0666
study_subject	study_subject_id_513	HF0670
study_subject	study_subject_id_514	HF0702
study_subject	study_subject_id_515	HF0726
study_subject	study_subject_id_516	HF0749
study_subject	study_subject_id_517	HF0757
study_subject	study_subject_id_518	HF0778
study_subject	study_subject_id_519	HF0790
study_subject	study_subject_id_520	HF0802
study_subject	study_subject_id_521	HF0813
study_subject	study_subject_id_522	HF0816
study_subject	study_subject_id_523	HF0822
study_subject	study_subject_id_524	HF0828
study_subject	study_subject_id_525	HF0831
study_subject	study_subject_id_526	HF0835
study_subject	study_subject_id_527	HF0844
study_subject	study_subject_id_528	HF0850
study_subject	study_subject_id_529	HF0855
study_subject	study_subject_id_530	HF0891
study_subject	study_subject_id_531	HF0894
study_subject	study_subject_id_532	HF0897
study_subject	study_subject_id_533	HF0899
study_subject	study_subject_id_534	HF0914
study_subject	study_subject_id_535	HF0920
study_subject	study_subject_id_536	HF0931
study_subject	study_subject_id_537	HF0936
study_subject	study_subject_id_538	HF0953
study_subject	study_subject_id_539	HF0954.2
study_subject	study_subject_id_540	HF0960
study_subject	study_subject_id_541	HF0962
study_subject	study_subject_id_542	HF0963
study_subject	study_subject_id_543	HF0966
study_subject	study_subject_id_544	HF0975
study_subject	study_subject_id_545	HF0982
study_subject	study_subject_id_546	HF0986
study_subject	study_subject_id_547	HF0990
study_subject	study_subject_id_548	HF0992
study_subject	study_subject_id_549	HF0996
study_subject	study_subject_id_550	HF1000
study_subject	study_subject_id_551	HF1032
study_subject	study_subject_id_552	HF1057
study_subject	study_subject_id_553	HF1058
study_subject	study_subject_id_554	HF1059
study_subject	study_subject_id_555	HF1071
study_subject	study_subject_id_556	HF1077
study_subject	study_subject_id_557	HF1078
study_subject	study_subject_id_558	HF1087
study_subject	study_subject_id_559	HF1090
study_subject	study_subject_id_560	HF1097
study_subject	study_subject_id_561	HF1114
study_subject	study_subject_id_562	HF1122
study_subject	study_subject_id_563	HF1136
study_subject	study_subject_id_564	HF1137
study_subject	study_subject_id_565	HF1139
study_subject	study_subject_id_566	HF1150
study_subject	study_subject_id_567	HF1156
study_subject	study_subject_id_568	HF1167
study_subject	study_subject_id_569	HF1178
study_subject	study_subject_id_570	HF1185
study_subject	study_subject_id_571	HF1186
study_subject	study_subject_id_572	HF1191
study_subject	study_subject_id_573	HF1219
study_subject	study_subject_id_574	HF1220
study_subject	study_subject_id_575	HF1227
study_subject	study_subject_id_576	HF1232
study_subject	study_subject_id_577	HF1235
study_subject	study_subject_id_578	HF1242
study_subject	study_subject_id_579	HF1246
study_subject	study_subject_id_580	HF1255
study_subject	study_subject_id_581	HF1262
study_subject	study_subject_id_582	HF1264
study_subject	study_subject_id_583	HF1269
study_subject	study_subject_id_584	HF1280
study_subject	study_subject_id_585	HF1286
study_subject	study_subject_id_586	HF1292
study_subject	study_subject_id_587	HF1295
study_subject	study_subject_id_588	HF1297
study_subject	study_subject_id_589	HF1313
study_subject	study_subject_id_590	HF1316
study_subject	study_subject_id_591	HF1318
study_subject	study_subject_id_592	HF1319
study_subject	study_subject_id_593	HF1325
study_subject	study_subject_id_594	HF1326
study_subject	study_subject_id_595	HF1334
study_subject	study_subject_id_596	HF1338
study_subject	study_subject_id_597	HF1344
study_subject	study_subject_id_598	HF1345
study_subject	study_subject_id_599	HF1348
study_subject	study_subject_id_600	HF1356
study_subject	study_subject_id_601	HF1357
study_subject	study_subject_id_602	HF1366
study_subject	study_subject_id_603	HF1380
study_subject	study_subject_id_604	HF1381
study_subject	study_subject_id_605	HF1382
study_subject	study_subject_id_606	HF1397
study_subject	study_subject_id_607	HF1398
study_subject	study_subject_id_608	HF1407
study_subject	study_subject_id_609	HF1409
study_subject	study_subject_id_610	HF1433
study_subject	study_subject_id_611	HF1442
study_subject	study_subject_id_612	HF1458
study_subject	study_subject_id_613	HF1463
study_subject	study_subject_id_614	HF1469
study_subject	study_subject_id_615	HF1475
study_subject	study_subject_id_616	HF1487
study_subject	study_subject_id_617	HF1489
study_subject	study_subject_id_618	HF1490
study_subject	study_subject_id_619	HF1492
study_subject	study_subject_id_620	HF1493
study_subject	study_subject_id_621	HF1494
study_subject	study_subject_id_622	HF1502
study_subject	study_subject_id_623	HF1509
study_subject	study_subject_id_624	HF1511
study_subject	study_subject_id_625	HF1517
study_subject	study_subject_id_626	HF1534
study_subject	study_subject_id_627	HF1538
study_subject	study_subject_id_628	HF1540
study_subject	study_subject_id_629	HF1551
study_subject	study_subject_id_630	HF1553
study_subject	study_subject_id_631	HF1560
study_subject	study_subject_id_632	HF1568
study_subject	study_subject_id_633	HF1581
study_subject	study_subject_id_634	HF1585
study_subject	study_subject_id_635	HF1587
study_subject	study_subject_id_636	HF1588
study_subject	study_subject_id_637	HF1589
study_subject	study_subject_id_638	HF1606
study_subject	study_subject_id_639	HF1608
study_subject	study_subject_id_640	HF1613
study_subject	study_subject_id_641	HF1618
study_subject	study_subject_id_642	HF1628
study_subject	study_subject_id_643	HF1640
study_subject	study_subject_id_644	HF1667
study_subject	study_subject_id_645	HF1671
study_subject	study_subject_id_646	HF1677
study_subject	study_subject_id_647	HF1702
study_subject	study_subject_id_648	HF1708
study_subject	study_subject_id_649	MD508984
study_subject	study_subject_id_650	MD545226
study_subject	study_subject_id_651	MD547038
study_subject	study_subject_id_652	MD548092
study_subject	study_subject_id_653	MD548457
study_subject	study_subject_id_654	MD549279
study_subject	study_subject_id_655	MD550239
study_subject	study_subject_id_656	MD550715
study_subject	study_subject_id_657	MD552910
study_subject	study_subject_id_658	MD554082
study_subject	study_subject_id_659	MD570013
study_subject	study_subject_id_660	MD602958
study_subject	study_subject_id_661	MD607103
study_subject	study_subject_id_662	MD607216
study_subject	study_subject_id_663	MD608660
study_subject	study_subject_id_664	MD621233
study_subject	study_subject_id_665	NT1
study_subject	study_subject_id_666	NT2
study_subject	study_subject_id_667	NT3
study_subject	study_subject_id_668	NT4
study_subject	study_subject_id_669	NT5
study_subject	study_subject_id_670	NT6
study_subject	study_subject_id_671	NT7
