type	file_id	md5sum	file_status	file_description	file_format	file_type	file_name	file_location	study_subject.study_subject_id	file_size
file	file_id_75	74	uploaded	Gene expression data	tsv	text	GeneExp_file_id_75.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_75.txt	study_subject_id_103	459955
file	file_id_76	75	uploaded	Gene expression data	tsv	text	GeneExp_file_id_76.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_76.txt	study_subject_id_104	460215
file	file_id_77	76	uploaded	Gene expression data	tsv	text	GeneExp_file_id_77.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_77.txt	study_subject_id_106	459917
file	file_id_78	77	uploaded	Gene expression data	tsv	text	GeneExp_file_id_78.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_78.txt	study_subject_id_107	459960
file	file_id_79	78	uploaded	Gene expression data	tsv	text	GeneExp_file_id_79.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_79.txt	study_subject_id_108	460171
file	file_id_80	79	uploaded	Gene expression data	tsv	text	GeneExp_file_id_80.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_80.txt	study_subject_id_109	459876
file	file_id_81	80	uploaded	Gene expression data	tsv	text	GeneExp_file_id_81.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_81.txt	study_subject_id_110	460088
file	file_id_82	81	uploaded	Gene expression data	tsv	text	GeneExp_file_id_82.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_82.txt	study_subject_id_111	459924
file	file_id_83	82	uploaded	Gene expression data	tsv	text	GeneExp_file_id_83.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_83.txt	study_subject_id_113	460265
file	file_id_84	83	uploaded	Gene expression data	tsv	text	GeneExp_file_id_84.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_84.txt	study_subject_id_114	460024
file	file_id_85	84	uploaded	Gene expression data	tsv	text	GeneExp_file_id_85.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_85.txt	study_subject_id_115	459997
file	file_id_86	85	uploaded	Gene expression data	tsv	text	GeneExp_file_id_86.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_86.txt	study_subject_id_116	459977
file	file_id_87	86	uploaded	Gene expression data	tsv	text	GeneExp_file_id_87.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_87.txt	study_subject_id_118	459969
file	file_id_88	87	uploaded	Gene expression data	tsv	text	GeneExp_file_id_88.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_88.txt	study_subject_id_119	459947
file	file_id_89	88	uploaded	Gene expression data	tsv	text	GeneExp_file_id_89.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_89.txt	study_subject_id_120	460079
file	file_id_90	89	uploaded	Gene expression data	tsv	text	GeneExp_file_id_90.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_90.txt	study_subject_id_121	460103
file	file_id_91	90	uploaded	Gene expression data	tsv	text	GeneExp_file_id_91.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_91.txt	study_subject_id_122	460018
file	file_id_92	91	uploaded	Gene expression data	tsv	text	GeneExp_file_id_92.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_92.txt	study_subject_id_123	460063
file	file_id_93	92	uploaded	Gene expression data	tsv	text	GeneExp_file_id_93.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_93.txt	study_subject_id_124	460087
file	file_id_94	93	uploaded	Gene expression data	tsv	text	GeneExp_file_id_94.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_94.txt	study_subject_id_125	459980
file	file_id_95	94	uploaded	Gene expression data	tsv	text	GeneExp_file_id_95.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_95.txt	study_subject_id_126	459987
file	file_id_96	95	uploaded	Gene expression data	tsv	text	GeneExp_file_id_96.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_96.txt	study_subject_id_127	460121
file	file_id_97	96	uploaded	Gene expression data	tsv	text	GeneExp_file_id_97.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_97.txt	study_subject_id_128	460098
file	file_id_98	97	uploaded	Gene expression data	tsv	text	GeneExp_file_id_98.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_98.txt	study_subject_id_129	460125
file	file_id_99	98	uploaded	Gene expression data	tsv	text	GeneExp_file_id_99.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_99.txt	study_subject_id_130	459900
file	file_id_100	99	uploaded	Gene expression data	tsv	text	GeneExp_file_id_100.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_100.txt	study_subject_id_131	460098
file	file_id_101	100	uploaded	Gene expression data	tsv	text	GeneExp_file_id_101.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_101.txt	study_subject_id_132	459985
file	file_id_102	101	uploaded	Gene expression data	tsv	text	GeneExp_file_id_102.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_102.txt	study_subject_id_133	459903
file	file_id_103	102	uploaded	Gene expression data	tsv	text	GeneExp_file_id_103.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_103.txt	study_subject_id_134	460008
file	file_id_104	103	uploaded	Gene expression data	tsv	text	GeneExp_file_id_104.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_104.txt	study_subject_id_135	459988
file	file_id_105	104	uploaded	Gene expression data	tsv	text	GeneExp_file_id_105.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_105.txt	study_subject_id_136	460155
file	file_id_106	105	uploaded	Gene expression data	tsv	text	GeneExp_file_id_106.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_106.txt	study_subject_id_137	459936
file	file_id_107	106	uploaded	Gene expression data	tsv	text	GeneExp_file_id_107.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_107.txt	study_subject_id_138	460106
file	file_id_108	107	uploaded	Gene expression data	tsv	text	GeneExp_file_id_108.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_108.txt	study_subject_id_140	460000
file	file_id_109	108	uploaded	Gene expression data	tsv	text	GeneExp_file_id_109.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_109.txt	study_subject_id_141	460125
file	file_id_110	109	uploaded	Gene expression data	tsv	text	GeneExp_file_id_110.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_110.txt	study_subject_id_142	460097
file	file_id_111	110	uploaded	Gene expression data	tsv	text	GeneExp_file_id_111.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_111.txt	study_subject_id_143	459880
file	file_id_112	111	uploaded	Gene expression data	tsv	text	GeneExp_file_id_112.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_112.txt	study_subject_id_144	460127
file	file_id_113	112	uploaded	Gene expression data	tsv	text	GeneExp_file_id_113.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_113.txt	study_subject_id_145	460074
file	file_id_114	113	uploaded	Gene expression data	tsv	text	GeneExp_file_id_114.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_114.txt	study_subject_id_146	460174
file	file_id_115	114	uploaded	Gene expression data	tsv	text	GeneExp_file_id_115.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_115.txt	study_subject_id_147	460001
file	file_id_116	115	uploaded	Gene expression data	tsv	text	GeneExp_file_id_116.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_116.txt	study_subject_id_148	459928
file	file_id_117	116	uploaded	Gene expression data	tsv	text	GeneExp_file_id_117.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_117.txt	study_subject_id_149	459940
file	file_id_118	117	uploaded	Gene expression data	tsv	text	GeneExp_file_id_118.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_118.txt	study_subject_id_151	459854
file	file_id_119	118	uploaded	Gene expression data	tsv	text	GeneExp_file_id_119.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_119.txt	study_subject_id_152	459982
file	file_id_120	119	uploaded	Gene expression data	tsv	text	GeneExp_file_id_120.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_120.txt	study_subject_id_153	459904
file	file_id_121	120	uploaded	Gene expression data	tsv	text	GeneExp_file_id_121.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_121.txt	study_subject_id_154	459897
file	file_id_122	121	uploaded	Gene expression data	tsv	text	GeneExp_file_id_122.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_122.txt	study_subject_id_155	460082
file	file_id_123	122	uploaded	Gene expression data	tsv	text	GeneExp_file_id_123.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_123.txt	study_subject_id_156	460017
file	file_id_124	123	uploaded	Gene expression data	tsv	text	GeneExp_file_id_124.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_124.txt	study_subject_id_157	460085
file	file_id_125	124	uploaded	Gene expression data	tsv	text	GeneExp_file_id_125.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_125.txt	study_subject_id_158	460163
file	file_id_126	125	uploaded	Gene expression data	tsv	text	GeneExp_file_id_126.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_126.txt	study_subject_id_160	459990
file	file_id_127	126	uploaded	Gene expression data	tsv	text	GeneExp_file_id_127.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_127.txt	study_subject_id_161	460073
file	file_id_128	127	uploaded	Gene expression data	tsv	text	GeneExp_file_id_128.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_128.txt	study_subject_id_163	459989
file	file_id_129	128	uploaded	Gene expression data	tsv	text	GeneExp_file_id_129.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_129.txt	study_subject_id_164	460075
file	file_id_130	129	uploaded	Gene expression data	tsv	text	GeneExp_file_id_130.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_130.txt	study_subject_id_165	460220
file	file_id_131	130	uploaded	Gene expression data	tsv	text	GeneExp_file_id_131.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_131.txt	study_subject_id_166	460053
file	file_id_132	131	uploaded	Gene expression data	tsv	text	GeneExp_file_id_132.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_132.txt	study_subject_id_167	460028
file	file_id_133	132	uploaded	Gene expression data	tsv	text	GeneExp_file_id_133.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_133.txt	study_subject_id_168	459979
file	file_id_134	133	uploaded	Gene expression data	tsv	text	GeneExp_file_id_134.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_134.txt	study_subject_id_169	459940
file	file_id_135	134	uploaded	Gene expression data	tsv	text	GeneExp_file_id_135.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_135.txt	study_subject_id_170	459829
file	file_id_136	135	uploaded	Gene expression data	tsv	text	GeneExp_file_id_136.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_136.txt	study_subject_id_171	460111
file	file_id_137	136	uploaded	Gene expression data	tsv	text	GeneExp_file_id_137.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_137.txt	study_subject_id_172	460052
file	file_id_138	137	uploaded	Gene expression data	tsv	text	GeneExp_file_id_138.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_138.txt	study_subject_id_174	460086
file	file_id_139	138	uploaded	Gene expression data	tsv	text	GeneExp_file_id_139.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_139.txt	study_subject_id_175	459989
file	file_id_140	139	uploaded	Gene expression data	tsv	text	GeneExp_file_id_140.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_140.txt	study_subject_id_176	459975
file	file_id_141	140	uploaded	Gene expression data	tsv	text	GeneExp_file_id_141.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_141.txt	study_subject_id_177	459837
file	file_id_142	141	uploaded	Gene expression data	tsv	text	GeneExp_file_id_142.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_142.txt	study_subject_id_178	459882
file	file_id_143	142	uploaded	Gene expression data	tsv	text	GeneExp_file_id_143.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_143.txt	study_subject_id_179	459914
file	file_id_144	143	uploaded	Gene expression data	tsv	text	GeneExp_file_id_144.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_144.txt	study_subject_id_180	459919
file	file_id_145	144	uploaded	Gene expression data	tsv	text	GeneExp_file_id_145.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_145.txt	study_subject_id_181	460150
file	file_id_146	145	uploaded	Gene expression data	tsv	text	GeneExp_file_id_146.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_146.txt	study_subject_id_182	459964
file	file_id_147	146	uploaded	Gene expression data	tsv	text	GeneExp_file_id_147.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_147.txt	study_subject_id_183	459982
file	file_id_148	147	uploaded	Gene expression data	tsv	text	GeneExp_file_id_148.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_148.txt	study_subject_id_184	460154
file	file_id_149	148	uploaded	Gene expression data	tsv	text	GeneExp_file_id_149.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_149.txt	study_subject_id_186	460128
file	file_id_150	149	uploaded	Gene expression data	tsv	text	GeneExp_file_id_150.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_150.txt	study_subject_id_187	460118
file	file_id_151	150	uploaded	Gene expression data	tsv	text	GeneExp_file_id_151.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_151.txt	study_subject_id_188	460029
file	file_id_152	151	uploaded	Gene expression data	tsv	text	GeneExp_file_id_152.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_152.txt	study_subject_id_189	460034
file	file_id_153	152	uploaded	Gene expression data	tsv	text	GeneExp_file_id_153.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_153.txt	study_subject_id_190	460116
file	file_id_154	153	uploaded	Gene expression data	tsv	text	GeneExp_file_id_154.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_154.txt	study_subject_id_191	459974
file	file_id_155	154	uploaded	Gene expression data	tsv	text	GeneExp_file_id_155.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_155.txt	study_subject_id_192	460234
file	file_id_156	155	uploaded	Gene expression data	tsv	text	GeneExp_file_id_156.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_156.txt	study_subject_id_194	460015
